N,P,K,temperature,humidity,ph,rainfall,label
67,41,40,25.848795,87.81661683,7.333143205,152.6194403,remya rice
72,42,43,26.56767277,80.90424543,6.352771037,181.2915605,remya rice
89,40,43,26.24532085,72.97198375,7.124050134,189.9711184,remya rice
89,57,43,26.91515043,73.19897535,6.998787171,177.2233048,remya rice
61,41,44,24.36972377,82.11319791,6.537914958,159.9210934,remya rice
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,remya rice
84,40,43,25.01157559,88.3313023,7.228268228,169.4168014,remya rice
98,43,35,25.40785911,76.44048625,7.319952206,188.6372826,remya rice
75,36,44,23.28081,74.27607475,6.613341343,153.7447398,remya rice
89,58,35,23.98651719,82.09053379,6.096838784,167.0576456,remya rice
91,41,37,24.48556447,83.20630007,6.132570523,192.2316221,remya rice
77,48,36,25.86705009,84.09985284,7.36008498,154.8390847,remya rice
66,58,35,23.5643831,79.46283115,7.321619041,185.25947,remya rice
62,59,41,24.2248758,74.89465426,7.175170657,192.4931257,remya rice
82,35,35,25.49386782,86.97061481,7.299076163,176.5268267,remya rice
61,41,35,24.97178693,79.47557931,6.842966479,195.7571622,remya rice
99,57,38,24.80624984,82.09281674,6.356295568,156.3616174,remya rice
70,42,43,23.16814977,76.66724969,6.508342839,157.1215052,remya rice
90,59,35,24.25133493,89.86454053,7.098227926,175.1742112,remya rice
73,43,42,26.58361011,78.00774772,6.310699968,154.8238864,remya rice
67,46,44,26.82489244,78.20392774,7.093328631,153.9199807,remya rice
84,37,42,25.49674786,81.13449097,6.691074249,169.9288234,remya rice
72,41,36,24.09874353,80.57226761,6.187746776,176.8604109,remya rice
71,56,37,23.18866654,86.20899734,6.491506245,176.103677,remya rice
64,53,38,26.24347471,78.51063754,6.855362875,183.4065252,remya rice
65,54,39,23.75091572,71.14782585,7.124571593,160.0889553,remya rice
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,remya rice
86,39,43,26.14576648,71.23690851,6.432051512,193.1007598,remya rice
90,50,44,26.91643698,73.48655995,6.253408852,171.4716375,remya rice
91,38,36,26.5232969,77.17331847,7.287318723,157.8548562,remya rice
87,48,38,23.81579631,80.94023552,7.161865733,190.312216,remya rice
72,41,36,26.50838667,86.84264005,6.065898283,152.9801697,remya rice
71,54,35,26.63952463,70.95705996,7.311077075,199.3355744,remya rice
82,46,41,23.3250131,79.79609448,6.581693772,187.3096148,remya rice
71,52,43,26.47549543,73.96164569,6.732826127,180.2513601,remya rice
80,43,43,23.78756036,74.36794079,6.014572075,172.6442654,remya rice
77,55,43,25.49941707,75.99987588,6.663559451,193.7141828,remya rice
95,57,41,23.24925555,73.65346838,6.434610995,184.7674863,remya rice
63,47,35,26.98582182,89.05587886,7.432768147,193.8778713,remya rice
93,43,38,23.61475336,86.14290267,6.987332927,150.2355238,remya rice
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,remya rice
88,52,39,23.92887902,88.07112278,6.880204617,154.6608736,remya rice
90,39,37,24.81441246,81.68688879,6.86106911,190.7886386,remya rice
90,39,43,24.44743944,82.286484,6.7693455,190.9684885,remya rice
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,remya rice
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,gouri rice
107,21,26,26.45288458,55.32222678,7.235070264,144.6861336,gouri rice
83,38,35,25.70822684,52.88667115,7.18915558,136.7325092,gouri rice
108,24,31,24.12832546,56.18107663,6.431899748,147.2757818,gouri rice
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,gouri rice
116,23,25,23.4123707,52.26994674,6.869720196,139.3670753,gouri rice
109,31,27,23.05951896,50.40609436,6.973839707,164.4971875,gouri rice
89,25,34,23.07895447,63.65861483,7.184801627,129.8765443,gouri rice
118,18,32,27.6496114,51.11044023,6.351823783,122.8392822,gouri rice
111,32,34,25.46743689,69.35161206,6.392048018,171.3764462,gouri rice
84,36,28,26.7350622,55.55164819,6.119892347,140.6305213,gouri rice
85,33,25,26.20811417,52.50987966,6.910823945,189.0944824,gouri rice
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,gouri rice
81,30,31,24.65090184,51.93952357,7.027585559,135.1386537,gouri rice
95,39,29,27.35152643,55.99375012,7.13411409,148.9812525,gouri rice
81,34,30,25.17787724,62.26244581,6.647765997,135.0119649,gouri rice
80,15,28,23.11438731,68.00096043,6.703270635,161.8944624,gouri rice
104,20,26,27.22783677,52.95261751,7.493191968,175.7260273,gouri rice
109,29,28,23.26316991,60.5160021,6.724688503,194.1755471,gouri rice
100,32,26,25.234661,57.53161469,6.043485685,124.2261737,gouri rice
100,24,28,25.59535262,57.72920846,7.101661011,195.7733251,gouri rice
83,21,28,25.5674832,60.49244602,7.466900683,190.2257843,gouri rice
120,23,28,25.67324193,51.29043632,6.877799264,196.2736367,gouri rice
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,gouri rice
108,33,31,23.69287069,66.76090123,7.393825704,144.6576424,gouri rice
91,25,26,24.53460016,66.99765375,7.482414225,180.5059257,gouri rice
86,26,27,27.13140403,52.89368299,6.081172981,192.4280381,gouri rice
98,18,27,27.56088634,68.49299897,6.516312148,167.4358075,gouri rice
111,27,31,23.59302313,55.27564977,6.043330951,191.3980675,gouri rice
84,39,35,23.17714381,52.13864034,6.959404135,117.3113562,gouri rice
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,gouri rice
118,21,34,24.38534644,64.72543073,7.234258375,119.6324109,gouri rice
103,27,31,27.15998538,51.59100753,6.691541233,126.1752206,gouri rice
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,gouri rice
86,31,35,27.01207284,60.76645256,6.485761419,191.4508931,gouri rice
88,35,35,27.55906475,58.45742907,6.784460602,117.9389993,gouri rice
84,27,29,23.32293161,53.00366334,7.167092586,168.2644287,gouri rice
120,40,33,24.23850608,54.30329632,6.73410539,115.1564012,gouri rice
106,40,30,23.42611644,64.10651528,6.779984384,122.6847408,gouri rice
113,21,33,26.02241444,55.83288958,7.277422738,176.9020924,gouri rice
117,34,25,24.83846178,56.7685316,7.21270048,124.4135035,gouri rice
80,30,25,26.24092174,65.64381357,7.487266991,148.3771202,gouri rice
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,gouri rice
113,33,34,26.00373964,62.1445102,6.559817161,153.477776,gouri rice
87,23,28,26.22367404,62.26594559,6.979590627,193.7461968,gouri rice
113,15,29,27.09617155,63.55324262,6.779230041,190.2440566,gouri rice
98,29,30,25.64004392,61.03273481,6.217974349,199.4735636,gouri rice
97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,gouri rice
85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,gouri rice
82,29,35,26.67377159,52.24226285,6.246872394,156.1543898,gouri rice
103,33,25,27.10210397,55.7497332,6.911066044,139.5013171,gouri rice
112,17,28,27.62975458,61.26002598,6.777417989,196.6492664,gouri rice
99,19,33,27.5364547,55.51673151,6.273741983,130.6377143,gouri rice
120,20,34,23.56960509,50.56339727,6.906124587,130.3797119,gouri rice
114,27,28,24.99451759,57.93250202,7.162802357,192.8736822,gouri rice
100,40,35,27.56441788,54.41094079,6.955787351,177.816092,gouri rice
108,35,25,23.98143338,61.10935084,6.971963169,161.5279095,gouri rice
115,31,30,24.22984659,67.37768353,6.840927967,122.4073418,gouri rice
87,28,30,25.60153969,68.66257977,6.536676653,168.8383605,gouri rice
82,24,26,24.31274458,53.57285558,6.089443603,184.4103931,gouri rice
94,26,27,26.36629861,52.25738495,7.456460375,177.3176161,gouri rice
87,28,35,26.5602777,57.1621814,6.759211911,152.0616227,gouri rice
118,40,35,26.35034208,58.50650238,7.460174812,121.5586297,gouri rice
87,38,29,25.20406808,57.88370456,6.652642579,156.1457255,gouri rice
92,40,30,23.35723208,55.18792166,6.026287448,171.6976946,gouri rice
97,22,26,23.60567546,59.68849145,6.074190142,185.1568059,gouri rice
99,40,32,24.18471151,69.94807345,7.045543056,163.2708732,gouri rice
89,28,33,26.44414097,53.83876189,6.993236001,175.3723314,gouri rice
112,39,29,26.12492233,63.37479229,6.726528895,147.8035305,gouri rice
111,28,26,27.77363343,64.47858698,6.937352845,192.7121236,gouri rice
114,20,26,25.55656667,62.67087838,7.27905689,193.5866233,gouri rice
117,26,30,27.92374437,67.96910852,7.079850922,115.2325531,gouri rice
111,29,31,26.05968403,52.31098539,6.136286518,161.3432535,gouri rice
119,30,28,26.35770906,64.57578034,6.505203696,163.6269496,gouri rice
116,40,33,24.91370487,54.15319242,7.042089492,129.5481144,gouri rice
95,37,35,27.31317116,68.4233391,6.348337519,192.4288139,gouri rice
86,40,33,26.1387869,52.26311691,7.432322234,136.3027766,gouri rice
117,37,32,23.1069385,67.06230539,6.787658922,162.5769606,gouri rice
105,18,35,23.52648086,68.44030686,6.743417121,171.8839938,gouri rice
109,23,25,25.11711046,68.48030408,7.00733163,194.8773479,gouri rice
80,18,31,24.02952505,58.84880599,7.303033217,134.6803969,gouri rice
101,31,26,26.70897548,69.71184111,6.861235184,158.8608887,gouri rice
103,33,33,26.71717393,50.50148528,7.131435858,126.8073984,gouri rice
93,26,27,24.59245684,56.46829641,7.288211994,137.7044047,gouri rice
104,35,28,27.51006055,50.66687215,6.983732393,143.9955548,gouri rice
116,36,25,27.57847581,58.52534263,6.172090205,156.6810374,gouri rice
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,gouri rice
101,33,33,26.97251562,62.0183627,6.908671379,142.8610793,gouri rice
107,31,31,23.17124551,52.97841162,6.766184468,153.1201644,gouri rice
99,16,30,23.52652084,65.44340921,6.392791654,186.1728203,gouri rice
103,40,30,27.30901814,55.196224,6.348316257,141.4831644,gouri rice
118,31,34,27.54823036,62.88179198,6.123796057,181.4170812,gouri rice
106,21,35,25.627355,57.04151119,7.428523634,188.5506536,gouri rice
116,38,34,23.29250318,50.04557009,6.020947179,183.468585,gouri rice
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,gouri rice
107,34,32,26.77463708,66.4132686,6.78006386,177.7745075,gouri rice
99,15,27,27.41711238,56.63636248,6.086922359,127.92461,gouri rice
118,33,30,24.13179691,67.22512329,6.362607851,173.3228386,gouri rice
117,32,34,26.2724184,52.12739421,6.758792552,127.1752928,gouri rice
104,18,30,23.60301571,60.39647474,6.779832611,140.9370415,gouri rice
